stem,term_id,n_tokens,n_docs,pos_mode,pos_coarse,example_word,tf,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
japanes,0,2249,4,JJ,ADJ,Japanese,0.0065903216920922,4,0.0,,0.0,,0.0
king,1,2172,4,NN,NOUN,king,0.00636468595608015,4,0.0,,0.0,,0.0
one,2,2117,4,CD,OTHER,one,0.006203517573214401,4,0.0,,0.0,,0.0
korean,3,1948,4,JJ,ADJ,Korean,0.005708291087681461,4,0.0,,0.0,,0.0
korea,4,1492,4,NNP,NOUN,Korea,0.0043720586770127,4,0.0,,0.0,,0.0
time,5,1329,4,NN,NOUN,time,0.0038944141968832967,4,0.0,,0.0,,0.0
japan,6,1295,4,NNP,NOUN,Japan,0.003794782832929924,4,0.0,,0.0,,0.0
peopl,7,1257,4,NNS,NOUN,people,0.0036834301320408606,4,0.0,,0.0,,0.0
made,8,1241,4,VBN,VERB,made,0.003636544784298097,4,0.0,,0.0,,0.0
year,9,1233,4,NN,NOUN,year,0.003613102110426715,4,0.0,,0.0,,0.0
two,10,1180,4,CD,OTHER,two,0.003457794396028811,4,0.0,,0.0,,0.0
chines,11,1175,4,JJ,ADJ,Chinese,0.0034431427248591976,4,0.0,,0.0,,0.0
men,12,1082,4,NNS,NOUN,men,0.003170621641104384,4,0.0,,0.0,,0.0
upon,13,1056,4,IN,OTHER,upon,0.0030944329510223935,4,0.0,,0.0,,0.0
day,14,1023,4,NN,NOUN,day,0.0029977319213029437,4,0.0,,0.0,,0.0
govern,15,1016,4,NNP,NOUN,Government,0.0029772195816654846,4,0.0,,0.0,,0.0
countri,16,960,4,NN,NOUN,country,0.0028131208645658123,4,0.0,,0.0,,0.0
gener,17,953,4,JJ,NOUN,general,0.002792608524928353,4,0.0,,0.0,,0.0
corean,18,948,1,NNP,NOUN,Corean,0.0027779568537587397,1,0.6020599913279624,0.004351179152402253,0.004351179152402253,0.004351179152402253,0.004351179152402253
foreign,19,934,4,JJ,ADJ,foreign,0.0027369321744838216,4,0.0,,0.0,,0.0
great,20,929,4,JJ,ADJ,great,0.002722280503314208,4,0.0,,0.0,,0.0
would,21,909,4,MD,OTHER,would,0.0026636738186357535,4,0.0,,0.0,,0.0
china,22,905,4,NNP,NOUN,China,0.0026519524817000626,4,0.0,,0.0,,0.0
seoul,23,889,4,NNP,NOUN,Seoul,0.0026050671339572992,4,0.0,,0.0,,0.0
emperor,24,869,4,NNP,NOUN,Emperor,0.0025464604492788446,4,0.0,,0.0,,0.0
even,25,864,4,RB,ADV,even,0.002531808778109231,4,0.0,,0.0,,0.0
offici,26,857,4,NNS,NOUN,officials,0.002511296438471772,4,0.0,,0.0,,0.0
first,27,782,4,JJ,ADJ,first,0.002291521370927568,4,0.0,,0.0,,0.0
man,28,780,4,NN,NOUN,man,0.0022856607024597225,4,0.0,,0.0,,0.0
sent,29,778,4,VBD,VERB,sent,0.0022798000339918773,4,0.0,,0.0,,0.0
three,30,762,4,CD,OTHER,three,0.0022329146862491134,4,0.0,,0.0,,0.0
place,31,742,4,NN,NOUN,place,0.002174308001570659,4,0.0,,0.0,,0.0
mani,32,734,4,JJ,ADJ,many,0.0021508653276992775,4,0.0,,0.0,,0.0
make,33,724,4,VB,VERB,make,0.00212156198536005,4,0.0,,0.0,,0.0
follow,34,707,4,JJ,VERB,following,0.0020717463033833637,4,0.0,,0.0,,0.0
well,35,685,4,RB,ADV,well,0.002007278950237064,4,0.0,,0.0,,0.0
name,36,656,4,NN,NOUN,name,0.0019222992574533051,4,0.0,,0.0,,0.0
may,37,649,4,MD,OTHER,may,0.001901786917815846,4,0.0,,0.0,,0.0
could,38,646,4,MD,OTHER,could,0.001892995915114078,4,0.0,,0.0,,0.0
land,39,637,4,NN,NOUN,land,0.0018666229070087735,4,0.0,,0.0,,0.0
forc,40,630,4,NNS,NOUN,forces,0.0018461105673713144,4,0.0,,0.0,,0.0
call,41,621,4,VBN,VERB,called,0.00181973755926601,4,0.0,,0.0,,0.0
war,42,620,4,NN,NOUN,war,0.001816807225032087,4,0.0,,0.0,,0.0
work,43,617,4,NN,NOUN,work,0.001808016222330319,4,0.0,,0.0,,0.0
said,44,610,4,VBD,VERB,said,0.00178750388269286,4,0.0,,0.0,,0.0
citi,45,606,4,NN,NOUN,city,0.0017757825457571691,4,0.0,,0.0,,0.0
river,46,606,4,NN,NOUN,river,0.0017757825457571691,4,0.0,,0.0,,0.0
order,47,605,4,NN,NOUN,order,0.0017728522115232463,4,0.0,,0.0,,0.0
corea,48,601,1,NNP,NOUN,Corea,0.0017611308745875554,1,0.6020599913279624,0.002758500707377378,0.002758500707377378,0.002758500707377378,0.002758500707377378
minist,49,601,4,NNP,NOUN,Minister,0.0017611308745875554,4,0.0,,0.0,,0.0
hous,50,596,4,NN,NOUN,house,0.0017464792034179418,4,0.0,,0.0,,0.0
new,51,588,4,JJ,ADJ,new,0.00172303652954656,4,0.0,,0.0,,0.0
larg,52,584,4,JJ,ADJ,large,0.0017113151926108692,4,0.0,,0.0,,0.0
way,53,583,4,NN,NOUN,way,0.0017083848583769464,4,0.0,,0.0,,0.0
armi,54,581,4,NN,NOUN,army,0.001702524189909101,4,0.0,,0.0,,0.0
state,55,580,4,NN,NOUN,state,0.0016995938556751784,4,0.0,,0.0,,0.0
also,56,571,4,RB,ADV,also,0.0016732208475698739,4,0.0,,0.0,,0.0
among,57,568,4,IN,OTHER,among,0.0016644298448681056,4,0.0,,0.0,,0.0
good,58,567,4,JJ,ADJ,good,0.001661499510634183,4,0.0,,0.0,,0.0
capit,59,564,4,NN,NOUN,capital,0.0016527085079324148,4,0.0,,0.0,,0.0
nation,60,560,4,NN,NOUN,nation,0.001640987170996724,4,0.0,,0.0,,0.0
long,61,557,4,JJ,ADJ,long,0.0016321961682949557,4,0.0,,0.0,,0.0
part,62,554,4,NN,NOUN,part,0.0016234051655931875,4,0.0,,0.0,,0.0
came,63,553,4,VBD,VERB,came,0.0016204748313592649,4,0.0,,0.0,,0.0
hand,64,550,4,NN,NOUN,hand,0.0016116838286574966,4,0.0,,0.0,,0.0
power,65,544,4,NN,NOUN,power,0.0015941018232539603,4,0.0,,0.0,,0.0
far,66,541,4,RB,ADV,far,0.001585310820552192,4,0.0,,0.0,,0.0
provinc,67,537,4,NN,NOUN,province,0.0015735894836165013,4,0.0,,0.0,,0.0
use,68,536,4,VBN,VERB,use,0.0015706591493825786,4,0.0,,0.0,,0.0
much,69,536,4,JJ,ADJ,much,0.0015706591493825786,4,0.0,,0.0,,0.0
found,70,532,4,VBD,VERB,found,0.0015589378124468878,4,0.0,,0.0,,0.0
present,71,531,4,JJ,ADJ,present,0.001556007478212965,4,0.0,,0.0,,0.0
offic,72,526,4,NN,NOUN,office,0.0015413558070433513,4,0.0,,0.0,,0.0
palac,73,523,4,NN,NOUN,palace,0.0015325648043415833,4,0.0,,0.0,,0.0
back,74,521,4,RB,ADV,back,0.0015267041358737379,4,0.0,,0.0,,0.0
number,75,508,4,NN,NOUN,number,0.0014886097908327423,4,0.0,,0.0,,0.0
without,76,500,4,IN,OTHER,without,0.0014651671169613606,4,0.0,,0.0,,0.0
